freq,re,im
3.16227766016837e+01,9.99131816664545e-01,-4.04938013273581e-02
3.54813389233575e+01,9.98916554386791e-01,-4.54345328741062e-02
3.98107170553496e+01,9.98645434120911e-01,-5.09780114430024e-02
4.46683592150962e+01,9.98303922143165e-01,-5.71977315682886e-02
5.01187233627271e+01,9.97873680411621e-01,-6.41761302890932e-02
5.62341325190347e+01,9.97331557619794e-01,-7.20056649182250e-02
6.30957344480191e+01,9.96648305189711e-01,-8.07900144704570e-02
7.07945784384136e+01,9.95786939069333e-01,-9.06454147913241e-02
7.94328234724279e+01,9.94700643248322e-01,-1.01702135163720e-01
8.91250938133743e+01,9.93330077056425e-01,-1.14106099098831e-01
9.99999999999997e+01,9.91599902003448e-01,-1.28020641908950e-01
1.12201845430196e+02,9.89414280128198e-01,-1.43628378580155e-01
1.25892541179416e+02,9.86651007522016e-01,-1.61133120488774e-01
1.41253754462275e+02,9.83153824328892e-01,-1.80761716463845e-01
1.58489319246111e+02,9.78722273746345e-01,-2.02765581240716e-01
1.77827941003892e+02,9.73098252942307e-01,-2.27421475205936e-01
1.99526231496887e+02,9.65948095447071e-01,-2.55030748903754e-01
2.23872113856833e+02,9.56838646642944e-01,-2.85915653481698e-01
2.51188643150957e+02,9.45205379540323e-01,-3.20410258704499e-01
2.81838293126444e+02,9.30310286707646e-01,-3.58841713544758e-01
3.16227766016837e+02,9.11187454591464e-01,-4.01494576984674e-01
3.54813389233574e+02,8.86575779408558e-01,-4.48546141527373e-01
3.98107170553496e+02,8.54843177136874e-01,-4.99953549244092e-01
4.46683592150961e+02,8.13918743542308e-01,-5.55264479491056e-01
5.01187233627270e+02,7.61275267078613e-01,-6.13316107533393e-01
5.62341325190347e+02,6.94052639324727e-01,-6.71794874720861e-01
6.30957344480191e+02,6.09483976972808e-01,-7.26684029261755e-01
7.07945784384135e+02,5.05844007799177e-01,-7.71781476245345e-01
7.94328234724278e+02,3.84051712412816e-01,-7.98763552431436e-01
8.91250938133742e+02,2.49585973260890e-01,-7.98556761027132e-01
9.99999999999995e+02,1.13449562661780e-01,-7.64506869773464e-01
1.12201845430196e+03,-9.63639815680893e-03,-6.96357445111019e-01
1.25892541179416e+03,-1.06180443643765e-01,-6.02161370251029e-01
1.41253754462275e+03,-1.69197674323979e-01,-4.95777846027612e-01
1.58489319246111e+03,-1.99947735460100e-01,-3.91352869334737e-01
1.77827941003891e+03,-2.05444245649572e-01,-2.98796326018140e-01
1.99526231496887e+03,-1.94450985528410e-01,-2.22555935123334e-01
2.23872113856833e+03,-1.74614428501721e-01,-1.62886126352800e-01
2.51188643150957e+03,-1.51387836349491e-01,-1.17779338626709e-01
2.81838293126444e+03,-1.28129643593195e-01,-8.44594824417605e-02
3.16227766016836e+03,-1.06637612110535e-01,-6.02155481599750e-02
3.54813389233573e+03,-8.76981494559279e-02,-4.27468141776123e-02
3.98107170553495e+03,-7.15049698025429e-02,-3.02380584620461e-02
4.46683592150961e+03,-5.79365214031518e-02,-2.13156194798937e-02
5.01187233627269e+03,-4.67248097882579e-02,-1.49656255986763e-02
5.62341325190346e+03,-3.75516232343693e-02,-1.04511296833473e-02
6.30957344480189e+03,-3.00998133655801e-02,-7.24153423773086e-03
7.07945784384134e+03,-2.40781338025945e-02,-4.95705902587063e-03
7.94328234724277e+03,-1.92311737075316e-02,-3.32685206189544e-03
8.91250938133740e+03,-1.53412797864993e-02,-2.15815022536061e-03
9.99999999999994e+03,-1.22264609693741e-02,-1.31390251074437e-03
1.12201845430196e+04,-9.73652508656174e-03,-6.96677467719691e-04
1.25892541179416e+04,-7.74867137621561e-03,-2.37153376472332e-04
1.41253754462275e+04,-6.16317114307783e-03,1.14086223897472e-04
1.58489319246110e+04,-4.89943421185117e-03,3.92389288567169e-04
1.77827941003891e+04,-3.89257418257183e-03,6.23183375276947e-04
1.99526231496887e+04,-3.09048752773938e-03,8.24922905087529e-04
2.23872113856832e+04,-2.45141300358552e-03,1.01118420294082e-03
2.51188643150956e+04,-1.94191690736933e-03,1.19215670354486e-03
2.81838293126443e+04,-1.53524376065810e-03,1.37570695839734e-03
3.16227766016836e+04,-1.20997376447948e-03,1.56814092972921e-03
3.54813389233573e+04,-9.48933730617876e-04,1.77475368928791e-03
3.98107170553494e+04,-7.38314854526359e-04,2.00022983041741e-03
4.46683592150960e+04,-5.66957433462441e-04,2.24893961224687e-03
5.01187233627269e+04,-4.25768831006776e-04,2.52516291137033e-03
5.62341325190345e+04,-3.07246368006435e-04,2.83326390956542e-03
6.30957344480188e+04,-2.05081282701075e-04,3.17783299268439e-03
7.07945784384133e+04,-1.13823437868323e-04,3.56380778962715e-03
7.94328234724275e+04,-2.85890774271857e-05,3.99658207728870e-03
8.91250938133739e+04,5.52043422501233e-05,4.48210900516406e-03
1.00000000000000e+05,1.42091427235984e-04,5.02700343522348e-03
