freq,CH1,,freq2,CH2
-0.24773365,-0.09636359290737724,,-0.24773365,0.6357455955541648
-0.24771802,-0.09609594723693944,,-0.24771802,0.6325609420745405
-0.24770239,-0.09515918739040716,,-0.24770239,0.6134530211967951
-0.24768676,-0.09756799842434731,,-0.24768676,0.6070837142375466
-0.24767113,-0.09663123857781503,,-0.24767113,0.6166376746764193
-0.2476555,-0.09489154171996937,,-0.2476555,0.6070837142375466
-0.24763987,-0.09502536455518827,,-0.24763987,0.5975297537986739
-0.24762424,-0.09435625037909379,,-0.24762424,0.5784218329209284
-0.24760861,-0.09515918739040716,,-0.24760861,0.5847911398801768
-0.24759298,-0.09462389604953157,,-0.24759298,0.5816064864005527
-0.24757735,-0.09649741574259613,,-0.24757735,0.5784218329209284
-0.24756172,-0.09301802202690482,,-0.24756172,0.5561292585635587
-0.24754609,-0.09489154171996937,,-0.24754609,0.5784218329209284
-0.24753046,-0.09529301022562606,,-0.24753046,0.5688678724820557
-0.24751483,-0.09542683306084496,,-0.24751483,0.5593139120431829
-0.2474992,-0.09489154171996937,,-0.2474992,0.5529446050839345
-0.24748357,-0.09689888424825283,,-0.24748357,0.5370213376858133
-0.24746794,-0.09569447873128276,,-0.24746794,0.533836684206189
-0.24745231,-0.09515918739040716,,-0.24745231,0.5402059911654374
-0.24743668,-0.0977018212595662,,-0.24743668,0.5274673772469405
-0.24742105,-0.09395478187343709,,-0.24742105,0.533836684206189
-0.24740542000000001,-0.09622977007215834,,-0.24740542000000001,0.5433906446450617
-0.24738979,-0.09475771888475047,,-0.24738979,0.5306520307265647
-0.24737416,-0.09582830156650164,,-0.24737416,0.5147287633284435
-0.24735853,-0.09837093543566068,,-0.24735853,0.5051748028895708
-0.2473429,-0.09649741574259613,,-0.2473429,0.49880549593032236
-0.24732727000000002,-0.09596212440172054,,-0.24732727000000002,0.5083594563691951
-0.24731164,-0.09529301022562606,,-0.24731164,0.5115441098488193
-0.24729601,-0.09676506141303393,,-0.24729601,0.5019901494099466
-0.24728038,-0.09502536455518827,,-0.24728038,0.5083594563691951
-0.24726475,-0.09663123857781503,,-0.24726475,0.48288222853220114
-0.24724912,-0.09716652991869061,,-0.24724912,0.4892515354914496
-0.24723349,-0.09596212440172054,,-0.24723349,0.4733282680933284
-0.24721786,-0.09663123857781503,,-0.24721786,0.4733282680933284
-0.24720223,-0.09408860470865599,,-0.24720223,0.4733282680933284
-0.2471866,-0.09663123857781503,,-0.2471866,0.4669589611340799
-0.24717097,-0.09395478187343709,,-0.24717097,0.46058965417483144
-0.24715534,-0.0978356440947851,,-0.24715534,0.46377430765445565
-0.24713971,-0.09649741574259613,,-0.24713971,0.4669589611340799
-0.24712408,-0.09622977007215834,,-0.24712408,0.4510356937359587
-0.24710845,-0.09663123857781503,,-0.24710845,0.43829707981746174
-0.24709282,-0.09622977007215834,,-0.24709282,0.46377430765445565
-0.24707719,-0.09542683306084496,,-0.24707719,0.44785104025633443
-0.24706156,-0.09475771888475047,,-0.24706156,0.45422034721558296
-0.24704593,-0.09636359290737724,,-0.24704593,0.44148173329708595
-0.2470303,-0.09596212440172054,,-0.2470303,0.43192777285821327
-0.24701467,-0.09596212440172054,,-0.24701467,0.4351124263378375
-0.24699904,-0.09556065589606386,,-0.24699904,0.4351124263378375
-0.24698341000000001,-0.09449007321431267,,-0.24698341000000001,0.4223738124193405
-0.24696778,-0.09542683306084496,,-0.24696778,0.4064505450212193
-0.24695215,-0.09636359290737724,,-0.24695215,0.43192777285821327
-0.24693652,-0.09596212440172054,,-0.24693652,0.4000812380619708
-0.24692089,-0.09515918739040716,,-0.24692089,0.4064505450212193
-0.24690526000000002,-0.09556065589606386,,-0.24690526000000002,0.40963519850084357
-0.24688963,-0.09489154171996937,,-0.24688963,0.4000812380619708
-0.246874,-0.09596212440172054,,-0.246874,0.40326589154159503
-0.24685837,-0.09716652991869061,,-0.24685837,0.40326589154159503
-0.24684274,-0.09716652991869061,,-0.24684274,0.4064505450212193
-0.24682711000000002,-0.09730035275390951,,-0.24682711000000002,0.3841579706638496
-0.24681148,-0.09475771888475047,,-0.24681148,0.4000812380619708
